2025-05-27 09:03:23,084 - DEBUG - Dragging to: (1549, 1000)
2025-05-27 09:03:23,429 - DEBUG - Dragging to: (1548, 1000)
2025-05-27 09:03:23,439 - DEBUG - Dragging to: (1548, 999)
2025-05-27 09:03:23,446 - DEBUG - Dragging to: (1547, 999)
2025-05-27 09:03:23,487 - DEBUG - Dragging to: (1547, 998)
2025-05-27 09:03:23,494 - DEBUG - Dragging to: (1546, 998)
2025-05-27 09:03:23,503 - DEBUG - Dragging to: (1546, 997)
2025-05-27 09:03:23,909 - DEBUG - Dragging to: (1546, 998)
2025-05-27 09:03:24,408 - DEBUG - Dragging to: (1547, 998)
2025-05-27 09:03:24,435 - DEBUG - Dragging to: (1547, 999)
2025-05-27 09:03:24,806 - INFO - Selected region: left=1547, top=999, width=27, height=26
2025-05-27 09:03:27,864 - INFO - Saved region coordinates to region_config.yaml
2025-05-27 09:03:56,143 - INFO - Screenshot captured
2025-05-27 09:04:01,816 - DEBUG - Mouse down at: (1573, 1026)
2025-05-27 09:04:01,901 - DEBUG - Dragging to: (1573, 1025)
2025-05-27 09:04:01,921 - DEBUG - Dragging to: (1573, 1024)
2025-05-27 09:04:01,925 - DEBUG - Dragging to: (1572, 1024)
2025-05-27 09:04:01,928 - DEBUG - Dragging to: (1572, 1023)
2025-05-27 09:04:01,934 - DEBUG - Dragging to: (1571, 1022)
2025-05-27 09:04:01,942 - DEBUG - Dragging to: (1571, 1021)
2025-05-27 09:04:01,954 - DEBUG - Dragging to: (1571, 1020)
2025-05-27 09:04:01,956 - DEBUG - Dragging to: (1570, 1020)
2025-05-27 09:04:01,963 - DEBUG - Dragging to: (1570, 1019)
2025-05-27 09:04:01,966 - DEBUG - Dragging to: (1570, 1018)
2025-05-27 09:04:01,983 - DEBUG - Dragging to: (1570, 1017)
2025-05-27 09:04:02,004 - DEBUG - Dragging to: (1569, 1017)
2025-05-27 09:04:02,109 - DEBUG - Dragging to: (1569, 1016)
2025-05-27 09:04:02,118 - DEBUG - Dragging to: (1568, 1016)
2025-05-27 09:04:02,124 - DEBUG - Dragging to: (1568, 1015)
2025-05-27 09:04:02,130 - DEBUG - Dragging to: (1567, 1015)
2025-05-27 09:04:02,132 - DEBUG - Dragging to: (1567, 1014)
2025-05-27 09:04:02,143 - DEBUG - Dragging to: (1566, 1013)
2025-05-27 09:04:02,166 - DEBUG - Dragging to: (1565, 1013)
2025-05-27 09:04:02,171 - DEBUG - Dragging to: (1565, 1012)
2025-05-27 09:04:02,189 - DEBUG - Dragging to: (1565, 1011)
2025-05-27 09:04:02,191 - DEBUG - Dragging to: (1564, 1011)
2025-05-27 09:04:02,214 - DEBUG - Dragging to: (1563, 1011)
2025-05-27 09:04:02,218 - DEBUG - Dragging to: (1563, 1010)
2025-05-27 09:04:02,253 - DEBUG - Dragging to: (1563, 1009)
2025-05-27 09:04:02,260 - DEBUG - Dragging to: (1562, 1009)
2025-05-27 09:04:02,278 - DEBUG - Dragging to: (1562, 1008)
2025-05-27 09:04:02,285 - DEBUG - Dragging to: (1561, 1008)
2025-05-27 09:04:02,291 - DEBUG - Dragging to: (1561, 1007)
2025-05-27 09:04:02,301 - DEBUG - Dragging to: (1560, 1007)
2025-05-27 09:04:02,307 - DEBUG - Dragging to: (1560, 1006)
2025-05-27 09:04:02,309 - DEBUG - Dragging to: (1559, 1006)
2025-05-27 09:04:02,327 - DEBUG - Dragging to: (1559, 1005)
2025-05-27 09:04:02,370 - DEBUG - Dragging to: (1559, 1004)
2025-05-27 09:04:02,393 - DEBUG - Dragging to: (1558, 1004)
2025-05-27 09:04:02,395 - DEBUG - Dragging to: (1558, 1003)
2025-05-27 09:04:02,409 - DEBUG - Dragging to: (1558, 1002)
2025-05-27 09:04:02,579 - DEBUG - Dragging to: (1557, 1002)
2025-05-27 09:04:02,614 - DEBUG - Dragging to: (1556, 1002)
2025-05-27 09:04:02,627 - DEBUG - Dragging to: (1555, 1002)
2025-05-27 09:04:02,687 - DEBUG - Dragging to: (1555, 1001)
2025-05-27 09:04:02,693 - DEBUG - Dragging to: (1554, 1001)
2025-05-27 09:04:02,799 - DEBUG - Dragging to: (1553, 1001)
2025-05-27 09:04:02,801 - DEBUG - Dragging to: (1553, 1000)
2025-05-27 09:04:02,815 - DEBUG - Dragging to: (1552, 1000)
2025-05-27 09:04:02,826 - DEBUG - Dragging to: (1552, 999)
2025-05-27 09:04:02,831 - DEBUG - Dragging to: (1551, 999)
2025-05-27 09:04:02,839 - DEBUG - Dragging to: (1551, 998)
2025-05-27 09:04:02,841 - DEBUG - Dragging to: (1550, 998)
2025-05-27 09:04:03,006 - DEBUG - Dragging to: (1549, 998)
2025-05-27 09:04:03,014 - DEBUG - Dragging to: (1548, 998)
2025-05-27 09:04:03,021 - DEBUG - Dragging to: (1547, 998)
2025-05-27 09:04:03,037 - DEBUG - Dragging to: (1546, 998)
2025-05-27 09:04:03,526 - INFO - Selected region: left=1546, top=998, width=27, height=28
2025-05-27 09:04:04,990 - INFO - Saved region coordinates to region_config.yaml
2025-05-27 09:04:38,385 - INFO - Screenshot captured
2025-05-27 09:04:41,202 - DEBUG - Mouse down at: (1573, 998)
2025-05-27 09:04:41,396 - DEBUG - Dragging to: (1572, 998)
2025-05-27 09:04:41,403 - DEBUG - Dragging to: (1571, 998)
2025-05-27 09:04:41,411 - DEBUG - Dragging to: (1570, 998)
2025-05-27 09:04:41,417 - DEBUG - Dragging to: (1569, 998)
2025-05-27 09:04:41,418 - DEBUG - Dragging to: (1569, 999)
2025-05-27 09:04:41,425 - DEBUG - Dragging to: (1568, 999)
2025-05-27 09:04:41,432 - DEBUG - Dragging to: (1567, 999)
2025-05-27 09:04:41,437 - DEBUG - Dragging to: (1566, 999)
2025-05-27 09:04:41,438 - DEBUG - Dragging to: (1566, 1000)
2025-05-27 09:04:41,454 - DEBUG - Dragging to: (1565, 1000)
2025-05-27 09:04:41,463 - DEBUG - Dragging to: (1565, 1001)
2025-05-27 09:04:41,492 - DEBUG - Dragging to: (1564, 1001)
2025-05-27 09:04:41,503 - DEBUG - Dragging to: (1564, 1002)
2025-05-27 09:04:41,516 - DEBUG - Dragging to: (1563, 1002)
2025-05-27 09:04:41,522 - DEBUG - Dragging to: (1562, 1002)
2025-05-27 09:04:41,526 - DEBUG - Dragging to: (1562, 1003)
2025-05-27 09:04:41,542 - DEBUG - Dragging to: (1562, 1004)
2025-05-27 09:04:41,544 - DEBUG - Dragging to: (1561, 1004)
2025-05-27 09:04:41,563 - DEBUG - Dragging to: (1561, 1005)
2025-05-27 09:04:41,632 - DEBUG - Dragging to: (1561, 1006)
2025-05-27 09:04:41,639 - DEBUG - Dragging to: (1561, 1007)
2025-05-27 09:04:41,640 - DEBUG - Dragging to: (1560, 1007)
2025-05-27 09:04:41,644 - DEBUG - Dragging to: (1560, 1008)
2025-05-27 09:04:41,649 - DEBUG - Dragging to: (1560, 1009)
2025-05-27 09:04:41,655 - DEBUG - Dragging to: (1560, 1010)
2025-05-27 09:04:41,659 - DEBUG - Dragging to: (1560, 1011)
2025-05-27 09:04:41,673 - DEBUG - Dragging to: (1560, 1012)
2025-05-27 09:04:41,693 - DEBUG - Dragging to: (1560, 1013)
2025-05-27 09:04:41,763 - DEBUG - Dragging to: (1560, 1014)
2025-05-27 09:04:41,765 - DEBUG - Dragging to: (1559, 1014)
2025-05-27 09:04:41,786 - DEBUG - Dragging to: (1558, 1014)
2025-05-27 09:04:41,811 - DEBUG - Dragging to: (1558, 1015)
2025-05-27 09:04:41,827 - DEBUG - Dragging to: (1558, 1016)
2025-05-27 09:04:41,832 - DEBUG - Dragging to: (1557, 1016)
2025-05-27 09:04:41,848 - DEBUG - Dragging to: (1557, 1017)
2025-05-27 09:04:41,853 - DEBUG - Dragging to: (1557, 1018)
2025-05-27 09:04:41,860 - DEBUG - Dragging to: (1556, 1018)
2025-05-27 09:04:41,864 - DEBUG - Dragging to: (1556, 1019)
2025-05-27 09:04:41,926 - DEBUG - Dragging to: (1555, 1019)
2025-05-27 09:04:41,928 - DEBUG - Dragging to: (1555, 1020)
2025-05-27 09:04:41,962 - DEBUG - Dragging to: (1554, 1020)
2025-05-27 09:04:41,994 - DEBUG - Dragging to: (1553, 1020)
2025-05-27 09:04:41,998 - DEBUG - Dragging to: (1553, 1021)
2025-05-27 09:04:42,003 - DEBUG - Dragging to: (1552, 1021)
2025-05-27 09:04:42,013 - DEBUG - Dragging to: (1552, 1022)
2025-05-27 09:04:42,015 - DEBUG - Dragging to: (1551, 1022)
2025-05-27 09:04:42,023 - DEBUG - Dragging to: (1550, 1022)
2025-05-27 09:04:42,032 - DEBUG - Dragging to: (1550, 1023)
2025-05-27 09:04:42,036 - DEBUG - Dragging to: (1549, 1023)
2025-05-27 09:04:42,044 - DEBUG - Dragging to: (1548, 1023)
2025-05-27 09:04:42,047 - DEBUG - Dragging to: (1548, 1024)
2025-05-27 09:04:42,217 - DEBUG - Dragging to: (1547, 1024)
2025-05-27 09:04:42,277 - DEBUG - Dragging to: (1547, 1025)
2025-05-27 09:04:43,344 - INFO - Selected region: left=1547, top=998, width=26, height=27
2025-05-27 09:04:44,897 - INFO - Saved region coordinates to region_config.yaml
2025-05-27 09:06:20,847 - INFO - Screenshot captured
2025-05-27 09:06:24,008 - DEBUG - Mouse down at: (1575, 997)
2025-05-27 09:06:24,131 - DEBUG - Dragging to: (1574, 997)
2025-05-27 09:06:24,146 - DEBUG - Dragging to: (1573, 997)
2025-05-27 09:06:24,160 - DEBUG - Dragging to: (1572, 997)
2025-05-27 09:06:24,172 - DEBUG - Dragging to: (1571, 997)
2025-05-27 09:06:24,173 - DEBUG - Dragging to: (1571, 998)
2025-05-27 09:06:24,181 - DEBUG - Dragging to: (1570, 998)
2025-05-27 09:06:24,182 - DEBUG - Dragging to: (1570, 999)
2025-05-27 09:06:24,186 - DEBUG - Dragging to: (1569, 999)
2025-05-27 09:06:24,193 - DEBUG - Dragging to: (1569, 1000)
2025-05-27 09:06:24,194 - DEBUG - Dragging to: (1568, 1000)
2025-05-27 09:06:24,200 - DEBUG - Dragging to: (1568, 1001)
2025-05-27 09:06:24,203 - DEBUG - Dragging to: (1567, 1001)
2025-05-27 09:06:24,206 - DEBUG - Dragging to: (1567, 1002)
2025-05-27 09:06:24,211 - DEBUG - Dragging to: (1566, 1002)
2025-05-27 09:06:24,213 - DEBUG - Dragging to: (1565, 1003)
2025-05-27 09:06:24,216 - DEBUG - Dragging to: (1565, 1004)
2025-05-27 09:06:24,221 - DEBUG - Dragging to: (1564, 1005)
2025-05-27 09:06:24,228 - DEBUG - Dragging to: (1563, 1005)
2025-05-27 09:06:24,229 - DEBUG - Dragging to: (1563, 1006)
2025-05-27 09:06:24,235 - DEBUG - Dragging to: (1563, 1007)
2025-05-27 09:06:24,237 - DEBUG - Dragging to: (1562, 1007)
2025-05-27 09:06:24,238 - DEBUG - Dragging to: (1562, 1008)
2025-05-27 09:06:24,239 - DEBUG - Dragging to: (1561, 1008)
2025-05-27 09:06:24,244 - DEBUG - Dragging to: (1561, 1009)
2025-05-27 09:06:24,245 - DEBUG - Dragging to: (1560, 1009)
2025-05-27 09:06:24,253 - DEBUG - Dragging to: (1559, 1010)
2025-05-27 09:06:24,258 - DEBUG - Dragging to: (1559, 1011)
2025-05-27 09:06:24,259 - DEBUG - Dragging to: (1558, 1011)
2025-05-27 09:06:24,261 - DEBUG - Dragging to: (1558, 1012)
2025-05-27 09:06:24,262 - DEBUG - Dragging to: (1557, 1012)
2025-05-27 09:06:24,272 - DEBUG - Dragging to: (1557, 1013)
2025-05-27 09:06:24,273 - DEBUG - Dragging to: (1556, 1013)
2025-05-27 09:06:24,280 - DEBUG - Dragging to: (1555, 1014)
2025-05-27 09:06:24,288 - DEBUG - Dragging to: (1555, 1015)
2025-05-27 09:06:24,292 - DEBUG - Dragging to: (1554, 1015)
2025-05-27 09:06:24,306 - DEBUG - Dragging to: (1554, 1016)
2025-05-27 09:06:24,334 - DEBUG - Dragging to: (1553, 1017)
2025-05-27 09:06:24,348 - DEBUG - Dragging to: (1552, 1017)
2025-05-27 09:06:24,358 - DEBUG - Dragging to: (1552, 1018)
2025-05-27 09:06:24,438 - DEBUG - Dragging to: (1552, 1019)
2025-05-27 09:06:24,595 - DEBUG - Dragging to: (1552, 1020)
2025-05-27 09:06:24,615 - DEBUG - Dragging to: (1552, 1021)
2025-05-27 09:06:24,621 - DEBUG - Dragging to: (1551, 1021)
2025-05-27 09:06:24,634 - DEBUG - Dragging to: (1551, 1022)
2025-05-27 09:06:24,643 - DEBUG - Dragging to: (1551, 1023)
2025-05-27 09:06:24,693 - DEBUG - Dragging to: (1550, 1023)
2025-05-27 09:06:24,706 - DEBUG - Dragging to: (1550, 1024)
2025-05-27 09:06:24,830 - DEBUG - Dragging to: (1549, 1024)
2025-05-27 09:06:24,858 - DEBUG - Dragging to: (1548, 1024)
2025-05-27 09:06:25,030 - DEBUG - Dragging to: (1547, 1024)
2025-05-27 09:06:25,542 - INFO - Selected region: left=1547, top=997, width=28, height=27
2025-05-27 09:06:26,933 - INFO - Saved region coordinates to region_config.yaml
2025-05-27 09:06:53,665 - INFO - Screenshot captured
2025-05-27 09:06:59,326 - DEBUG - Mouse down at: (1574, 998)
2025-05-27 09:06:59,574 - DEBUG - Dragging to: (1573, 998)
2025-05-27 09:06:59,600 - DEBUG - Dragging to: (1572, 998)
2025-05-27 09:06:59,608 - DEBUG - Dragging to: (1571, 998)
2025-05-27 09:06:59,620 - DEBUG - Dragging to: (1571, 999)
2025-05-27 09:06:59,627 - DEBUG - Dragging to: (1570, 999)
2025-05-27 09:06:59,640 - DEBUG - Dragging to: (1570, 1000)
2025-05-27 09:06:59,696 - DEBUG - Dragging to: (1569, 1000)
2025-05-27 09:06:59,703 - DEBUG - Dragging to: (1569, 1001)
2025-05-27 09:06:59,719 - DEBUG - Dragging to: (1568, 1002)
2025-05-27 09:06:59,729 - DEBUG - Dragging to: (1568, 1003)
2025-05-27 09:06:59,731 - DEBUG - Dragging to: (1567, 1003)
2025-05-27 09:06:59,743 - DEBUG - Dragging to: (1567, 1004)
2025-05-27 09:06:59,797 - DEBUG - Dragging to: (1566, 1004)
2025-05-27 09:06:59,803 - DEBUG - Dragging to: (1566, 1005)
2025-05-27 09:06:59,819 - DEBUG - Dragging to: (1565, 1005)
2025-05-27 09:06:59,820 - DEBUG - Dragging to: (1565, 1006)
2025-05-27 09:06:59,826 - DEBUG - Dragging to: (1565, 1007)
2025-05-27 09:06:59,839 - DEBUG - Dragging to: (1564, 1007)
2025-05-27 09:06:59,841 - DEBUG - Dragging to: (1564, 1008)
2025-05-27 09:06:59,847 - DEBUG - Dragging to: (1563, 1008)
2025-05-27 09:06:59,856 - DEBUG - Dragging to: (1563, 1009)
2025-05-27 09:06:59,873 - DEBUG - Dragging to: (1562, 1009)
2025-05-27 09:06:59,889 - DEBUG - Dragging to: (1562, 1010)
2025-05-27 09:06:59,903 - DEBUG - Dragging to: (1562, 1011)
2025-05-27 09:06:59,912 - DEBUG - Dragging to: (1561, 1011)
2025-05-27 09:06:59,931 - DEBUG - Dragging to: (1560, 1011)
2025-05-27 09:06:59,935 - DEBUG - Dragging to: (1560, 1012)
2025-05-27 09:06:59,945 - DEBUG - Dragging to: (1559, 1012)
2025-05-27 09:06:59,995 - DEBUG - Dragging to: (1559, 1013)
2025-05-27 09:06:59,998 - DEBUG - Dragging to: (1558, 1013)
2025-05-27 09:07:00,009 - DEBUG - Dragging to: (1558, 1014)
2025-05-27 09:07:00,012 - DEBUG - Dragging to: (1558, 1015)
2025-05-27 09:07:00,014 - DEBUG - Dragging to: (1557, 1015)
2025-05-27 09:07:00,024 - DEBUG - Dragging to: (1557, 1016)
2025-05-27 09:07:00,029 - DEBUG - Dragging to: (1556, 1016)
2025-05-27 09:07:00,034 - DEBUG - Dragging to: (1555, 1016)
